"","price","volume","date","ticker"
"745",12020,0,2003-01-06,"^BVSP"
"746",11876,0,2003-01-07,"^BVSP"
"747",11786,0,2003-01-08,"^BVSP"
"748",11912,0,2003-01-09,"^BVSP"
"749",12243,0,2003-01-10,"^BVSP"
"750",12110,0,2003-01-13,"^BVSP"
"751",12175,0,2003-01-14,"^BVSP"
"752",11971,0,2003-01-15,"^BVSP"
"753",11952,0,2003-01-16,"^BVSP"
"754",11676,0,2003-01-17,"^BVSP"
"755",11648,0,2003-01-20,"^BVSP"
"756",11435,0,2003-01-21,"^BVSP"
"757",11142,0,2003-01-22,"^BVSP"
"758",11162,0,2003-01-23,"^BVSP"
"759",10784,0,2003-01-24,"^BVSP"
"760",10530,0,2003-01-27,"^BVSP"
"761",10517,0,2003-01-28,"^BVSP"
"762",10863,0,2003-01-29,"^BVSP"
"763",10751,0,2003-01-30,"^BVSP"
"764",10941,0,2003-01-31,"^BVSP"
"765",10910,0,2003-02-03,"^BVSP"
"766",10577,0,2003-02-04,"^BVSP"
"767",10592,0,2003-02-05,"^BVSP"
"768",10566,0,2003-02-06,"^BVSP"
"769",10381,0,2003-02-07,"^BVSP"
"770",10480,0,2003-02-10,"^BVSP"
"771",10509,0,2003-02-11,"^BVSP"
"772",10510,0,2003-02-12,"^BVSP"
"773",10108,0,2003-02-13,"^BVSP"
"774",10081,0,2003-02-14,"^BVSP"
"775",10189,0,2003-02-17,"^BVSP"
"776",10450,0,2003-02-18,"^BVSP"
"777",10252,0,2003-02-19,"^BVSP"
"778",10217,0,2003-02-20,"^BVSP"
"779",10331,0,2003-02-21,"^BVSP"
"780",10254,0,2003-02-24,"^BVSP"
"781",10192,0,2003-02-25,"^BVSP"
"782",9995,0,2003-02-26,"^BVSP"
"783",10126,0,2003-02-27,"^BVSP"
"784",10281,0,2003-02-28,"^BVSP"
"785",10306,0,2003-03-05,"^BVSP"
"786",10615,0,2003-03-06,"^BVSP"
"787",10724,0,2003-03-07,"^BVSP"
"788",10309,0,2003-03-10,"^BVSP"
"789",10340,0,2003-03-11,"^BVSP"
"790",10577,0,2003-03-12,"^BVSP"
"791",10783,0,2003-03-13,"^BVSP"
"792",10817,0,2003-03-14,"^BVSP"
"793",10875,0,2003-03-17,"^BVSP"
"794",11151,0,2003-03-18,"^BVSP"
"795",11006,0,2003-03-19,"^BVSP"
"796",11159,0,2003-03-20,"^BVSP"
"797",11377,0,2003-03-21,"^BVSP"
"798",11053,0,2003-03-24,"^BVSP"
"799",11232,0,2003-03-25,"^BVSP"
"800",11206,0,2003-03-26,"^BVSP"
"801",11233,0,2003-03-27,"^BVSP"
"802",11396,0,2003-03-28,"^BVSP"
"803",11274,0,2003-03-31,"^BVSP"
"804",11592,0,2003-04-01,"^BVSP"
"805",11872,0,2003-04-02,"^BVSP"
"806",12006,0,2003-04-03,"^BVSP"
"807",12066,0,2003-04-04,"^BVSP"
"808",12136,0,2003-04-07,"^BVSP"
"809",11779,0,2003-04-08,"^BVSP"
"810",11759,0,2003-04-09,"^BVSP"
"811",11591,0,2003-04-10,"^BVSP"
"812",11719,0,2003-04-11,"^BVSP"
"813",11874,0,2003-04-14,"^BVSP"
"814",12106,0,2003-04-15,"^BVSP"
"815",12043,0,2003-04-16,"^BVSP"
"816",12395,0,2003-04-17,"^BVSP"
"817",12452,0,2003-04-22,"^BVSP"
"818",12394,0,2003-04-23,"^BVSP"
"819",12120,0,2003-04-24,"^BVSP"
"820",12126,0,2003-04-25,"^BVSP"
"821",12462,0,2003-04-28,"^BVSP"
"822",12678,0,2003-04-29,"^BVSP"
"823",12557,0,2003-04-30,"^BVSP"
"824",12810,0,2003-05-02,"^BVSP"
"825",12833,0,2003-05-05,"^BVSP"
"826",12644,0,2003-05-06,"^BVSP"
"827",12956,0,2003-05-07,"^BVSP"
"828",12921,0,2003-05-08,"^BVSP"
"829",13214,0,2003-05-09,"^BVSP"
"830",13320,0,2003-05-12,"^BVSP"
"831",13421,0,2003-05-13,"^BVSP"
"832",13459,0,2003-05-14,"^BVSP"
"833",13130,0,2003-05-15,"^BVSP"
"834",13225,0,2003-05-16,"^BVSP"
"835",12746,0,2003-05-19,"^BVSP"
"836",12745,0,2003-05-20,"^BVSP"
"837",13034,0,2003-05-21,"^BVSP"
"838",13101,0,2003-05-22,"^BVSP"
"839",13143,0,2003-05-23,"^BVSP"
"840",12852,0,2003-05-26,"^BVSP"
"841",13246,0,2003-05-27,"^BVSP"
"842",13294,0,2003-05-28,"^BVSP"
"843",13405,0,2003-05-29,"^BVSP"
"844",13422,0,2003-05-30,"^BVSP"
"845",13229,0,2003-06-02,"^BVSP"
"846",13350,0,2003-06-03,"^BVSP"
"847",13718,0,2003-06-04,"^BVSP"
"848",13780,0,2003-06-05,"^BVSP"
"849",13923,0,2003-06-06,"^BVSP"
"850",13846,0,2003-06-09,"^BVSP"
"851",13894,0,2003-06-10,"^BVSP"
"852",13877,0,2003-06-11,"^BVSP"
"853",13983,0,2003-06-12,"^BVSP"
"854",13734,0,2003-06-13,"^BVSP"
"855",13833,0,2003-06-16,"^BVSP"
"856",13777,0,2003-06-17,"^BVSP"
"857",13511,0,2003-06-18,"^BVSP"
"858",13131,0,2003-06-20,"^BVSP"
"859",12991,0,2003-06-23,"^BVSP"
"860",13108,0,2003-06-24,"^BVSP"
"861",13026,0,2003-06-25,"^BVSP"
"862",13112,0,2003-06-26,"^BVSP"
"863",13024,0,2003-06-27,"^BVSP"
"864",12973,0,2003-06-30,"^BVSP"
"865",13291,0,2003-07-01,"^BVSP"
"866",13310,0,2003-07-02,"^BVSP"
"867",13134,0,2003-07-03,"^BVSP"
"868",13281,0,2003-07-04,"^BVSP"
"869",13402,0,2003-07-07,"^BVSP"
"870",13619,0,2003-07-08,"^BVSP"
"871",13501,0,2003-07-10,"^BVSP"
"872",13321,0,2003-07-11,"^BVSP"
"873",13588,0,2003-07-14,"^BVSP"
"874",13614,0,2003-07-15,"^BVSP"
"875",13487,0,2003-07-16,"^BVSP"
"876",13622,0,2003-07-17,"^BVSP"
"877",13794,0,2003-07-18,"^BVSP"
"878",13676,0,2003-07-21,"^BVSP"
"879",13835,0,2003-07-22,"^BVSP"
"880",13799,0,2003-07-23,"^BVSP"
"881",13761,0,2003-07-24,"^BVSP"
"882",13750,0,2003-07-25,"^BVSP"
"883",13643,0,2003-07-28,"^BVSP"
"884",13623,0,2003-07-29,"^BVSP"
"885",13475,0,2003-07-30,"^BVSP"
"886",13572,0,2003-07-31,"^BVSP"
"887",13130,0,2003-08-01,"^BVSP"
"888",12939,0,2003-08-04,"^BVSP"
"889",13059,0,2003-08-05,"^BVSP"
"890",12888,0,2003-08-06,"^BVSP"
"891",13328,0,2003-08-07,"^BVSP"
"892",13500,0,2003-08-08,"^BVSP"
"893",13560,0,2003-08-11,"^BVSP"
"894",13602,0,2003-08-12,"^BVSP"
"895",13682,0,2003-08-13,"^BVSP"
"896",13812,0,2003-08-14,"^BVSP"
"897",13890,0,2003-08-15,"^BVSP"
"898",14146,0,2003-08-18,"^BVSP"
"899",14158,0,2003-08-19,"^BVSP"
"900",14467,0,2003-08-20,"^BVSP"
"901",14670,0,2003-08-21,"^BVSP"
"902",14613,0,2003-08-22,"^BVSP"
"903",14473,0,2003-08-25,"^BVSP"
"904",14878,0,2003-08-26,"^BVSP"
"905",15143,0,2003-08-27,"^BVSP"
"906",15065,0,2003-08-28,"^BVSP"
"907",15174,0,2003-08-29,"^BVSP"
"908",15352,0,2003-09-01,"^BVSP"
"909",15454,0,2003-09-02,"^BVSP"
"910",15634,0,2003-09-03,"^BVSP"
"911",15705,0,2003-09-04,"^BVSP"
"912",15900,0,2003-09-05,"^BVSP"
"913",16050,0,2003-09-08,"^BVSP"
"914",15718,0,2003-09-09,"^BVSP"
"915",15983,0,2003-09-10,"^BVSP"
"916",16292,0,2003-09-11,"^BVSP"
"917",16421,0,2003-09-12,"^BVSP"
"918",16342,0,2003-09-15,"^BVSP"
"919",16270,0,2003-09-16,"^BVSP"
"920",16492,0,2003-09-17,"^BVSP"
"921",16889,0,2003-09-18,"^BVSP"
"922",16851,0,2003-09-19,"^BVSP"
"923",16486,0,2003-09-22,"^BVSP"
"924",16444,0,2003-09-23,"^BVSP"
"925",16058,0,2003-09-24,"^BVSP"
"926",15806,0,2003-09-25,"^BVSP"
"927",15811,0,2003-09-26,"^BVSP"
"928",16109,0,2003-09-29,"^BVSP"
"929",16011,0,2003-09-30,"^BVSP"
"930",16579,0,2003-10-01,"^BVSP"
"931",16894,0,2003-10-02,"^BVSP"
"932",17089,0,2003-10-03,"^BVSP"
"933",17273,0,2003-10-06,"^BVSP"
"934",17470,0,2003-10-07,"^BVSP"
"935",17805,0,2003-10-08,"^BVSP"
"936",17708,0,2003-10-09,"^BVSP"
"937",17676,0,2003-10-10,"^BVSP"
"938",18062,0,2003-10-13,"^BVSP"
"939",18178,0,2003-10-14,"^BVSP"
"940",17942,0,2003-10-15,"^BVSP"
"941",17955,0,2003-10-16,"^BVSP"
"942",17791,0,2003-10-17,"^BVSP"
"943",18370,0,2003-10-20,"^BVSP"
"944",18449,0,2003-10-21,"^BVSP"
"945",18235,0,2003-10-22,"^BVSP"
"946",17690,0,2003-10-23,"^BVSP"
"947",17814,0,2003-10-24,"^BVSP"
"948",17750,0,2003-10-27,"^BVSP"
"949",18228,0,2003-10-28,"^BVSP"
"950",17945,0,2003-10-29,"^BVSP"
"951",18094,0,2003-10-30,"^BVSP"
"952",17982,0,2003-10-31,"^BVSP"
"953",18517,0,2003-11-03,"^BVSP"
"954",18541,0,2003-11-04,"^BVSP"
"955",18307,0,2003-11-05,"^BVSP"
"956",18613,0,2003-11-06,"^BVSP"
"957",18672,0,2003-11-07,"^BVSP"
"958",18572,0,2003-11-10,"^BVSP"
"959",18409,0,2003-11-11,"^BVSP"
