ticker,ref_date,volume,price_open,price_high,price_low,price_close,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
EL,2022-01-03,416289100,248.330002,374.200012,186.470001,248.110001,248.110001,-0.3231257010130588,-0.32979472458796133,6.997276023148909
EPAM,2012-02-08,42179700,19,23.620001,13.25,18.1,18.1,NA,NA,1
EPAM,2013-01-02,74164200,34.799999,39.759998,18.440001,34.939999,34.939999,0.9303866850828728,0.9303866850828728,1.9303866850828728
EPAM,2014-01-02,118940800,47.810001,52.889999,29.440001,47.75,47.75,0.3666285451238851,0.3666285451238851,2.638121546961326
EPAM,2015-01-02,101663500,79.290001,84.410004,45.27,78.620003,78.620003,0.6464922094240837,0.6464922094240837,4.343646574585635
EPAM,2016-01-04,113346000,64.269997,78.400002,54.529999,64.309998,64.309998,-0.18201481116707674,-0.18201481116707674,3.5530385635359107
EPAM,2017-01-03,83157100,107.669998,109.07,63.32,107.43,107.43,0.6705023066553355,0.6705023066553355,5.935359116022099
EPAM,2018-01-02,93451000,114.980003,144.190002,102.029999,116.010002,116.010002,0.0798659778460391,0.0798659778460391,6.409392375690606
EPAM,2019-01-02,90642500,209.649994,217,111.440002,212.160004,212.160004,0.8288078643425933,0.8288078643425933,11.721547182320439
EPAM,2020-01-02,85478800,359,360.890015,151.970001,358.350006,358.350006,0.68905542629986,0.68905542629986,19.79834287292817
EPAM,2021-01-04,94659500,671.419983,725.400024,328.899994,668.450012,668.450012,0.8653551020172161,0.8653551020172161,36.93093988950275
EPAM,2022-01-03,185166700,323.700012,675.340027,168.589996,327.73999,327.73999,-0.5097015721199509,-0.5097015721199509,18.107181767955794
FANG,2012-10-12,15457900,18.74,19.889999,15.65,19.120001,16.761999,NA,NA,1
FANG,2013-01-02,111772700,51.849998,58.709999,18.6,52.880001,46.358498,1.7656902974400608,1.7656902842212197,2.765690297440061
FANG,2014-01-02,299287800,58.849998,93.330002,44.02,59.779999,52.407539,0.13048397297082404,0.13048407468827383,3.1265685554569
FANG,2015-01-02,302993200,65.769997,85.82,55.529999,66.900002,58.649456,0.11910341754456355,0.11910343123291134,3.498953555599186
FANG,2016-01-04,335912700,101.910004,113.230003,55.48,101.059998,88.596634,0.5106130566667149,0.5106127799517852,5.285564925758557
FANG,2017-01-03,334604000,126.32,127.449997,82.769997,126.25,110.680046,0.24925791198794323,0.24925789133698584,6.6030338028298425
FANG,2018-01-02,497157600,92.440002,140.779999,85.190002,92.699997,81.517548,-0.26348469352822634,-0.26574259801980205,4.863235464934703
FANG,2019-01-02,469828700,90.769997,114.139999,73.18,92.860001,82.264793,0.009166676603177493,0.0017260410483077582,4.907815171686862
FANG,2020-01-02,900777100,49,96.919998,14.55,48.400002,44.422607,-0.46000463406016223,-0.4787852522207059,2.6501974496001353
FANG,2021-01-04,683031700,106.110001,117.709999,47.560001,107.849998,101.065781,1.2750979248021173,1.228305651722907,6.029458717901131
FANG,2022-01-03,692489900,135.559998,168.949997,103.709999,136.779999,136.779999,0.35337596609479527,0.2682429442418719,8.160124517368128
FFIV,2010-01-04,474251000,132.350006,143.75,47.110001,130.160004,130.160004,NA,NA,1
FFIV,2011-01-03,743097000,106.610001,145.759995,69.010002,106.120003,106.120003,-0.18469576107265628,-0.18469576107265628,0.8153042389273437
FFIV,2012-01-03,438270500,96.129997,139.460007,81.07,97.150002,97.150002,-0.08452695765566454,-0.08452695765566454,0.7463890520470483
FFIV,2013-01-02,431699100,90.199997,107.989998,67.529999,90.860001,90.860001,-0.06474524828110662,-0.06474524828110662,0.6980639075579623
FFIV,2014-01-02,323304500,133.130005,136.110001,87.470001,130.470001,130.470001,0.43594540572369134,0.43594540572369134,1.0023816609593836
FFIV,2015-01-02,275958800,97.650002,135.199997,94.510002,96.959999,96.959999,-0.2568406663842978,-0.2568406663842978,0.7449292871871763
FFIV,2016-01-04,227608900,144.960007,148.339996,86.029999,144.720001,144.720001,0.49257428313298557,0.49257428313298557,1.1118622968081655
FFIV,2017-01-03,195958000,132.440002,149.5,114.629997,131.220001,131.220001,-0.09328358144497251,-0.09328358144497251,1.008143799688267
FFIV,2018-01-02,180288500,162.039993,199.710007,131.309998,162.029999,162.029999,0.23479650788906792,0.23479650788906792,1.2448524433050878
FFIV,2019-01-02,168342100,138.869995,173.440002,121.360001,139.649994,139.649994,-0.1381226016053978,-0.1381226016053978,1.0729101852209533
FFIV,2020-01-02,209472800,176.320007,178.089996,79.779999,175.940002,175.940002,0.2598640140292452,0.2598640140292452,1.351720932645331
FFIV,2021-01-04,137493800,245.399994,249,173.410004,244.710007,244.710007,0.39087191211922345,0.39087191211922345,1.8800706782399916
FFIV,2022-01-03,141866400,141.479996,245.589996,133.679993,143.509995,143.509995,-0.41355077072920843,-0.41355077072920843,1.1025660002284574
GPN,2010-01-04,458965000,23.32,27.25,17.305,23.105,22.473753,NA,NA,1
GPN,2011-01-03,326495600,23.705,26.834999,19.129999,23.690001,23.081068,0.027023301359590413,0.02531923826011684,1.0270233013595904
GPN,2012-01-03,424922600,22.18,26.965,19.684999,22.65,22.107719,-0.042170882213942606,-0.04390042026591723,0.9837128226869807
GPN,2013-01-02,394202800,32.355,32.564999,21.865,32.494999,31.766907,0.43691472648082774,0.4346577924944812,1.4135114415469459
GPN,2014-01-02,350080000,40.674999,43.355,31.57,40.365002,39.504868,0.24358559679732128,0.24219120609912914,1.7578224696160005
GPN,2015-01-02,336151600,65.160004,74.639999,38.865002,64.510002,63.181995,0.5993470728721331,0.5981666989636221,2.8113682214092144
GPN,2016-01-04,416882300,69.900002,79.93,51.290001,69.410004,68.02179,0.07660085757026192,0.07595724458356079,3.0267214381149423
GPN,2017-01-03,279978100,100.599998,104.900002,69.040001,100.239998,98.281494,0.444853097808805,0.44417219742560454,4.373167846064695
GPN,2018-01-02,275972800,103.099998,129.25,94.809998,103.129997,101.149765,0.02918424296643285,0.02883079666462085,4.5007954390172396
GPN,2019-01-02,394848400,180.820007,185.419998,98.559998,182.559998,179.289932,0.7725195110438465,0.7701929924423445,7.977747730875212
