ref_date,BA,NOC,SO,WY
2019-02-25,416.87204,270.193481,42.450516,22.07032
2019-02-26,416.774384,269.722778,42.159294,21.814281
2019-02-27,425.241302,269.929871,42.296345,22.061781
2019-02-28,429.655426,272.932587,42.561859,21.525587
2019-03-01,430.299988,270.146423,42.810265,21.62937
2019-03-04,422.555695,266.475433,42.913048,21.577478
2019-03-05,420.045898,266.258942,42.887356,21.266144
2019-03-06,414.518494,263.990387,42.938751,21.292088
2019-03-07,412.662964,260.206573,43.247108,21.058582
2019-03-08,412.643433,259.7547,43.598278,21.326679
2019-03-11,390.641144,262.823303,44.026566,22.347178
2019-03-12,366.61731,259.011078,44.266396,22.286642
2019-03-13,368.306793,262.766785,44.309219,22.554735
2019-03-14,364.556732,258.615753,44.137917,22.096375
2019-03-15,370.113464,255.283661,44.42057,22.079082
2019-03-18,363.560608,258.747589,44.352051,22.13962
2019-03-19,364.683655,255.095383,43.675377,22.105022
2019-03-20,367.349731,254.577713,43.838123,21.94071
2019-03-21,363.970764,256.479095,44.172176,22.649866
2019-03-22,353.687408,252.600998,44.43771,22.27799
2019-03-25,361.783234,252.826889,44.583313,22.044483
2019-03-26,361.705109,250.238434,44.994457,22.027193
2019-03-27,365.445404,248.421707,44.737484,22.130974
2019-03-28,365.670013,251.320877,43.983738,23.013094
2019-03-29,372.486542,253.768173,44.266396,22.779594
2019-04-01,382.369537,258.013336,44.03513,22.935261
2019-04-02,381.598022,257.279175,44.23214,22.98715
2019-04-03,375.728729,251.094971,44.112217,23.073635
2019-04-04,386.588318,255.095383,43.855255,23.212006
2019-04-05,382.750397,260.074799,44.240696,23.687662
2019-04-08,365.748108,260.639465,44.120777,23.428211
2019-04-09,360.396515,257.41095,44.497665,23.004448
2019-04-10,356.392548,254.643555,44.343483,23.099577
2019-04-11,361.490265,261.100769,44.64328,23.419565
2019-04-12,370.74823,266.428314,44.968761,23.497398
2019-04-15,366.666138,263.764526,45.157204,23.419565
2019-04-16,372.779541,265.072876,44.874538,23.194712
2019-04-17,368.677887,262.39975,44.67754,22.81418
2019-04-18,371.168182,264.649384,44.506222,22.79689
2019-04-22,366.382935,266.27774,44.480534,22.27799
2019-04-23,365.259827,275.427002,44.40345,22.433661
2019-04-24,366.666138,263.557404,44.737484,22.770943
2019-04-25,373.834198,262.795013,44.91737,22.710405
2019-04-26,371.871307,266.503693,45.003021,23.670362
2019-04-29,370.172028,269.205139,44.763199,22.883371
2019-04-30,368.843903,272.885498,45.585484,23.177412
2019-05-01,367.974762,272.32074,44.985893,23.039042
2019-05-02,366.998169,272.904327,45.182899,22.883371
2019-05-03,367.64267,274.890411,45.602608,23.160116
2019-05-06,362.896545,274.231506,45.405602,23.004448
2019-05-07,348.863129,271.445313,45.277122,22.511496
2019-05-08,351.324097,273.497314,44.7118,22.165564
2019-05-09,347.822601,277.676605,44.848846,22.191507
2019-05-10,348.352966,283.135986,45.713966,22.096375
2019-05-13,331.361084,278.128448,46.339245,21.741798
2019-05-14,336.930115,278.279022,45.936661,21.60342
2019-05-15,339.483795,277.196503,45.945225,21.577478
2019-05-16,347.50827,286.816437,46.304981,21.672609
2019-05-17,348.696686,288.680145,46.634239,21.058582
2019-05-20,346.506439,296.106842,46.859531,20.288885
2019-05-21,352.360291,297.669281,46.764221,20.332125
2019-05-22,346.496613,298.036407,46.885529,20.003492
2019-05-23,344.306305,292.821747,47.08482,19.813227
2019-05-24,348.578857,293.744202,47.093479,19.899712
2019-05-28,348.559235,290.129639,46.408958,19.527836
2019-05-29,342.587494,288.0401,45.828411,19.519186
2019-05-30,343.638458,291.616913,45.923729,19.475946
2019-05-31,335.525543,286.663513,46.356964,19.718098
2019-06-03,332.854034,290.151642,46.928848,19.804581
2019-06-04,338.481934,295.190216,46.963512,20.25429
2019-06-05,342.538391,299.444061,47.492065,20.185104
2019-06-06,344.394745,297.600677,47.985962,20.272867
2019-06-07,347.400238,300.880951,47.405418,20.878422
2019-06-10,347.498444,294.282654,47.206127,21.159256
2019-06-11,343.108063,284.281372,47.266781,21.475199
2019-06-12,340.84903,288.175964,47.786671,21.992987
2019-06-13,342.646423,290.803894,47.786671,22.186062
2019-06-14,340.976715,292.505463,48.219913,22.563435
2019-06-17,348.578857,292.543335,48.089947,22.528336
2019-06-18,367.299347,296.059845,47.881989,22.800392
2019-06-19,361.995544,297.95047,48.297901,22.8706
2019-06-20,368.202972,306.108368,48.54052,23.309408
2019-06-21,365.217102,304.539215,48.757133,22.949587
2019-06-24,367.328827,303.896423,48.765804,22.668749
2019-06-25,362.742035,303.584442,48.505859,22.431793
2019-06-26,368.261932,301.268524,47.639366,22.335257
2019-06-27,357.536407,300.871429,47.726017,22.791616
2019-06-28,357.526611,305.437256,47.899315,23.116335
2019-07-01,350.111053,301.117218,47.518059,23.168991
